
2023/06/03 (07:24:32) | ===> btop++ v.1.2.13
2023/06/03 (07:24:32) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/13 (13:33:21) | ===> btop++ v.1.2.13
2023/06/13 (13:33:21) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/04/12 (21:50:17) | ===> btop++ v.1.2.13
2024/04/12 (21:50:17) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/04/13 (00:39:11) | ===> btop++ v.1.2.13
2024/04/13 (00:39:11) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/05/03 (01:04:24) | ===> btop++ v.1.2.13
2024/05/03 (01:04:24) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2024/05/03 (01:06:03) | INFO: Logger set to INFO
2024/05/03 (01:06:04) | INFO: Logger set to DEBUG
2024/05/03 (01:06:06) | INFO: Logger set to DEBUG
2024/05/03 (01:06:06) | INFO: Logger set to INFO
2024/05/03 (06:14:48) | INFO: Quitting! Runtime: 05:10:24

2024/05/03 (06:14:51) | ===> btop++ v.1.2.13
2024/05/03 (06:14:51) | INFO: Logger set to INFO
2024/05/03 (06:14:51) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2024/05/03 (06:14:51) | INFO: Running on /dev/ttys000

2024/05/03 (07:00:09) | ===> btop++ v.1.2.13
2024/05/03 (07:00:09) | INFO: Logger set to INFO
2024/05/03 (07:00:09) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2024/05/03 (07:00:09) | INFO: Running on /dev/ttys000
2024/05/03 (07:09:59) | INFO: Quitting! Runtime: 00:09:51

2024/05/04 (07:15:03) | ===> btop++ v.1.2.13
2024/05/04 (07:15:03) | INFO: Logger set to INFO
2024/05/04 (07:15:03) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2024/05/04 (07:15:03) | INFO: Running on /dev/ttys000
2024/05/04 (07:15:19) | INFO: Quitting! Runtime: 00:00:16

2024/05/05 (17:24:24) | ===> btop++ v.1.3.2
2024/05/05 (17:24:24) | INFO: Logger set to INFO
2024/05/05 (17:24:24) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/05/05 (17:24:24) | INFO: Running on /dev/ttys000
2024/05/05 (17:28:08) | INFO: Quitting! Runtime: 00:03:44

2024/05/10 (17:55:54) | ===> btop++ v.1.3.2
2024/05/10 (17:55:54) | INFO: Logger set to INFO
2024/05/10 (17:55:54) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/05/10 (17:55:54) | INFO: Running on /dev/ttys001
2024/05/10 (17:56:05) | INFO: Quitting! Runtime: 00:00:11

2024/05/10 (17:56:10) | ===> btop++ v.1.3.2
2024/05/10 (17:56:10) | INFO: Logger set to INFO
2024/05/10 (17:56:10) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/05/10 (17:56:10) | INFO: Running on /dev/ttys002
2024/05/10 (18:45:54) | INFO: Quitting! Runtime: 00:49:44

2024/05/12 (18:03:03) | ===> btop++ v.1.3.2
2024/05/12 (18:03:03) | INFO: Logger set to INFO
2024/05/12 (18:03:03) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/05/12 (18:03:03) | INFO: Running on /dev/ttys011
2024/05/12 (18:04:36) | INFO: Quitting! Runtime: 00:01:33

2024/05/13 (19:03:22) | ===> btop++ v.1.3.2
2024/05/13 (19:03:22) | INFO: Logger set to INFO
2024/05/13 (19:03:22) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/05/13 (19:03:22) | INFO: Running on /dev/ttys000
2024/05/13 (19:06:17) | INFO: Quitting! Runtime: 00:02:55

2024/05/17 (14:41:41) | ===> btop++ v.1.3.2
2024/05/17 (14:41:41) | INFO: Logger set to INFO
2024/05/17 (14:41:41) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/05/17 (14:41:41) | INFO: Running on /dev/ttys000
2024/05/17 (17:43:18) | INFO: Quitting! Runtime: 03:01:37
